file	mean	variance	hash	
known-304.png	148.842728	1944.246704	fa355c2bd76b09d91295a8f820814bae3085a8a776888f4932374b8327e8be9d
known-798.png	152.099335	1964.907104	fa2ff538a5281296bdae49cc64a1f70d470aea9720a0abd5515e495120976a81
known-476.png	156.061157	2003.219116	f9bbe0e8f1ba50bea168f74f3db0edb953195718a79da7ebdb473df2aae47185
known-027.png	138.898361	2667.289307	f907282415afe24d0f6111f4b73089d6d8f8157217ba2b68ec1a84c17799dc5d
known-021.png	151.802750	4459.109863	f85f6e23bd06b62a02ac7c5b2cba266439d29fbdc5f65accd08d63a8e2bc0802
known-325.png	131.400192	1735.885864	f838ce566cfedb174bca7334ebc8e7e4c75bebb5384c8c4ddc40f74979e640b0
known-112.png	135.742432	2716.571777	f78c18573d76b7ff4a6b64b5775791cdd157d871fe993b61e5507d97fbf81e06
known-534.png	144.920776	1609.697266	f770d83b10e5e4f295707bad8da6999093d15f14ab05996444f7605a367896e3
known-095.png	123.127113	3417.392822	f73126952e637234cba039700cd1e69a3bda78c5dad63f4f31a9697395a80e76
known-066.png	145.044052	2851.472168	f6e1cbb7394aaaf6508998e858e3760e35e98a03eabbf718b07d9c6501930cfc
known-481.png	130.569153	1323.978271	f606f6be1bc74be8afc777fc27974d5205a7749a9364c4e5f5518365345499d2
known-113.png	150.115616	2018.847046	f5ffd17fd39bd61be7a868ed21e47845420ddc5ec7976bc36d902640d7ed84a8
known-781.png	151.330200	2062.479004	f5eec42f366800dd87ba58f1af1c70dd6618d59bef65e5abffdfe2bdc1ef615a
known-457.png	118.655197	3281.596680	f4f0f569f2e149a95160dec33f8ad0943393a0e44ea7e32572886b67e5dcfd26
known-695.png	139.016922	1747.613159	f4ee445440aea6ebb65c2e0ebffef8921ad4b9d24592e666231ad7a4fe4dd59f
known-420.png	137.176971	2039.475952	f4c5b92996ab7514a2e3b9b6c7b8e908973e2927323cf9b848dd576d6b1a4de8
known-936.png	140.781189	2680.406494	f4ba99fad74b8a3ca15a828a0692b148cad1a2637b39fead3bd49899751450e5
known-732.png	133.765564	3030.588623	f476db7b3c92f43fb3167f8f73ed6a9fb1511fdb5213e7564bb7c2f9bf365c2e
known-639.png	143.678650	3202.152832	f46cf3dd493df4ceaab8f4d3e1c677ee819afd8f941432a3fe543e0e5fda8647
known-512.png	146.672638	2102.774902	f3c37b0adc2baf4167a6baea697af895e39cd352276b6965de1db98c06c959c9
known-278.png	142.580872	5044.655273	f3730a17f2bdf87a3c651bf10f90da24d15b435524ff2ffa2ed53bb8ad985e22
known-946.png	105.237740	3438.302002	f3255d88a282c9d3be5346df0f84f7ba6146ea3b600541c461cc127750357928
known-353.png	161.814194	1707.595337	f27abb632d74691094d63dc19a1ca0a2d75541df8a7adb4f21834e552c9c6f68
known-389.png	146.328690	2220.896729	f206c18335d495b5406baae5669cd5e299a77b4f7c4a0a1cd4da0643cebd4fbf
known-917.png	127.041153	1535.576660	f1427692af95a3e7115ba1c7d45bcc56e69445954498ea5698042fe1ccb01f4d
known-857.png	133.479950	3636.097168	f0fe56651fb9cf78ffd6627aba49abed1bc914f5585ac431d9e46293772435fa
known-032.png	142.680725	1357.916504	f0df8d4c140a094aac8c74c0781be2bb6e3e71775d2fe62a49bec32e6fb077d9
known-619.png	126.739517	2635.229004	f0b2a212fe2f1371165b85cc5ef9cc5a7efc41ede32aa6fbcbf8ee22f4c8d5f0
known-153.png	115.105270	1793.655029	f089861ab68ee52919049049bbf7561fa0e631c82e07c18d280065f633d54dca
known-368.png	126.739754	2418.064209	f078eecd18fd66ecddaee982d4d990ced8f39320db07ecec93abe1b7ae82fc55
known-403.png	136.931702	3900.279297	f0740cbc27840eaa6c845e040fce662f3bdeb37dbc3053cec4a4552f58f89940
known-682.png	138.757553	2132.853516	f029491c95dfd95919d2c30ad70fd362e81575806fd03bd97fd9573b62d506f6
known-583.png	147.608139	2644.344482	f013a7bc27d31405a32b28e85553fae03c1918bed74e8e37f3759f9e173c7a9e
known-915.png	160.805389	2026.738403	efe44f0e7266c315eda84462ce17394a094c55d9f4cd129355c607800e6b743f
known-990.png	149.610565	1801.626221	efc8ca3fcc093a973cf324e03bde52e693ea5771c475d3b77557ce33d7f8691a
known-654.png	151.669266	4331.867188	ef8317a0cdc856b8e74f14682f45d84f081e18a164be56b199a5effff7685ba0
known-641.png	154.850067	1774.594604	ef29a5d1e6ab178959c4bcb0a04b4cd9e1b72f2b226f8a8569bc5f8c6ff79e9b
known-513.png	131.248306	2139.565918	eede82b1827c6a64610b08e2424a0ad9c67e659648d97ae51a3c0cb4c38a9052
known-941.png	148.600449	1825.381104	ee6535fed8595ec12d6ab30c35dcdf36bc6c1f70e0b3bae039949b8ea2a37fbd
known-192.png	135.302994	1667.822754	ee413f9ee59a2626a09c1dbeb6797d617a5458f1203381186958fb9f23668a4d
